,KL,KS,KS_p,MW,MW_p
net,inf,0.24,0.4754535018190584,362.0,0.34137696585800126
net.conv1,0.10411258577996957,0.2,0.7102038997076623,348.0,0.4970436668959429
net.bn1,0.0,0.0,1.0,312.5,1.0
net.relu,0.0,0.0,1.0,312.5,1.0
net.maxpool,0.0,0.0,1.0,312.5,1.0
net.layer1,0.14367372988266522,0.24,0.4754535018190584,361.0,0.3516562439263766
net.layer1.0,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv1,0.1278369016488502,0.2,0.7102038997076623,363.0,0.3318941915365443
net.layer1.0.bn1,inf,0.12,0.995531553175167,303.0,0.8580665704029226
net.layer1.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer1.0.conv2,0.10929487641099915,0.28,0.2850421476958367,362.0,0.34173655502734857
net.layer1.0.bn2,0.1285861618823012,0.16,0.914993219397903,299.0,0.7811799603934549
net.layer1.1,0.21653008547862457,0.28,0.2850421476958367,378.0,0.20719847990901952
net.layer1.1.conv1,0.10352065052225093,0.24,0.4754535018190584,377.0,0.21429485057489495
net.layer1.1.bn1,inf,0.04,1.0,323.0,0.7889768523258908
net.layer1.1.relu,0.245533675152075,0.28,0.2850421476958367,384.0,0.16829544087781434
net.layer1.1.conv2,0.14778415035692136,0.28,0.2850421476958367,373.0,0.24430941590784006
net.layer1.1.bn2,inf,0.16,0.914993219397903,320.0,0.8917360382988018
net.layer2,0.31151350038466835,0.2,0.7102038997076623,343.0,0.5604902638374452
net.layer2.0,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv1,0.11723011087855693,0.28,0.2850421476958367,362.0,0.34171337265663915
net.layer2.0.bn1,0.056086245403238054,0.12,0.995531553175167,305.0,0.8919610412784
net.layer2.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer2.0.conv2,0.129838769447952,0.16,0.914993219397903,329.0,0.7561994493082085
net.layer2.0.bn2,0.0667002257220485,0.08,0.999999734559995,316.0,0.953582510349677
net.layer2.0.downsample,0.12550288793515382,0.2,0.7102038997076623,332.0,0.7123723305601254
net.layer2.0.downsample.0,0.22231359869991515,0.28,0.2850421476958367,373.0,0.24432074260995829
net.layer2.0.downsample.1,0.08291262338201257,0.28,0.2850421476958367,351.0,0.46091335885836215
net.layer2.1,0.18170112419025344,0.2,0.7102038997076623,351.0,0.46093488585479814
net.layer2.1.conv1,0.10788837906404256,0.24,0.4754535018190584,341.0,0.5869192097038856
net.layer2.1.bn1,0.010352170115363116,0.08,0.999999734559995,311.0,0.9835869855341655
net.layer2.1.relu,0.17477750221347874,0.16,0.914993219397903,335.0,0.6694569366732248
net.layer2.1.conv2,0.1816156916442436,0.36,0.07789836549197329,381.0,0.18691045070952728
net.layer2.1.bn2,0.1338315426216322,0.16,0.914993219397903,293.0,0.7123855280840246
net.layer3,0.0,0.0,1.0,312.5,1.0
net.layer3.0,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv1,0.08114709177821959,0.16,0.914993219397903,337.0,0.641436865261563
net.layer3.0.bn1,0.09870306398151837,0.16,0.914993219397903,288.0,0.6358580610508657
net.layer3.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.0.conv2,0.17439336077674583,0.16,0.914993219397903,339.0,0.6138346202101902
net.layer3.0.bn2,0.254558963816999,0.16,0.914993219397903,336.0,0.655397698889244
net.layer3.0.downsample,0.24240675110951723,0.16,0.914993219397903,314.0,0.9845189935536035
net.layer3.0.downsample.0,0.17527217121609595,0.28,0.2850421476958367,361.0,0.3516331138233161
net.layer3.0.downsample.1,0.24473289454438352,0.16,0.914993219397903,333.0,0.6979600617515462
net.layer3.1,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv1,0.21721758062603638,0.2,0.7102038997076623,352.0,0.4492011576637712
net.layer3.1.bn1,0.1767979042738253,0.08,0.999999734559995,309.5,0.9532882988693632
net.layer3.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer3.1.conv2,inf,0.12,0.995531553175167,320.0,0.8919584630016638
net.layer3.1.bn2,inf,0.2,0.7102038997076623,339.0,0.6138346202101902
net.layer4,0.0,0.0,1.0,312.5,1.0
net.layer4.0,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv1,0.24257651041730202,0.2,0.7102038997076623,333.0,0.6979462693499314
net.layer4.0.bn1,inf,0.08,0.999999734559995,331.0,0.6410528906507581
net.layer4.0.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.0.conv2,inf,0.16,0.914993219397903,345.0,0.534631970218043
net.layer4.0.bn2,0.17031100515280304,0.08,0.999999734559995,309.5,0.9532882988693632
net.layer4.0.downsample,0.25233343064064184,0.4,0.03561137027640743,396.0,0.10728571611471797
net.layer4.0.downsample.0,0.27335391202148623,0.28,0.2850421476958367,383.0,0.17437969927496721
net.layer4.0.downsample.1,0.20331048968197274,0.4,0.03561137027640743,379.0,0.20028435144039602
net.layer4.1,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv1,0.1778184528967281,0.28,0.2850421476958367,373.0,0.24432074260995829
net.layer4.1.bn1,0.06702768490854684,0.04,1.0,313.0,1.0
net.layer4.1.relu,0.0,0.0,1.0,312.5,1.0
net.layer4.1.conv2,inf,0.2,0.7102038997076623,345.0,0.5345534580179381
net.layer4.1.bn2,inf,0.12,0.995531553175167,341.0,0.5539709117609968
net.avgpool,inf,0.24,0.4754535018190584,360.0,0.36123796033266786
net.fc,inf,0.2,0.7102038997076623,347.0,0.5093364881254586
linear,0.16213197897780224,0.28,0.2850421476958367,369.0,0.27718534417851004
relu,0.0,0.0,1.0,312.5,1.0
out,0.0,0.0,1.0,312.5,1.0
